City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Fortuna,US,40.5982,-124.1573,49.12,93,90,5.75,overcast clouds
80,Council Bluffs,US,41.2619,-95.8608,47.5,50,20,9.22,few clouds
81,Fallon,US,39.4735,-118.7774,33.67,55,1,4.61,clear sky
82,Kruisfontein,ZA,-34.0033,24.7314,61.77,79,100,13.38,overcast clouds
83,Llata,PE,-9.4167,-76.7833,54.37,88,100,0.54,overcast clouds
84,Acapulco,MX,16.8634,-99.8901,77.43,85,45,4.52,scattered clouds
85,Biak,ID,-0.9131,122.8766,83.32,69,100,1.34,overcast clouds
86,Lasa,IT,46.6166,10.7002,38.66,96,98,0.96,overcast clouds
87,Honningsvag,NO,70.9821,25.9704,27.82,66,98,25.9,overcast clouds
88,Taldan,RU,53.6667,124.8,14.77,71,100,2.93,overcast clouds
89,Upernavik,GL,72.7868,-56.1549,16.36,83,100,10.27,overcast clouds
90,San Juan,AR,-31.5375,-68.5364,80.35,30,14,24.14,few clouds
91,Tombouctou,ML,20.0,-3.0,74.55,33,96,7.25,overcast clouds
92,Albany,US,42.6001,-73.9662,32.41,77,99,16.8,light snow
93,Roma,US,43.2128,-75.4557,30.34,86,90,14.97,overcast clouds
94,Chifeng,CN,42.2683,118.9636,40.33,32,0,5.97,clear sky
95,Artyom,AZ,40.4723,50.333,44.74,77,93,12.53,overcast clouds
96,San Francisco,US,37.7749,-122.4194,55.38,85,40,12.66,scattered clouds
97,Semey,KZ,50.4111,80.2275,7.02,78,67,6.71,broken clouds
98,Sulat,PH,11.8103,125.4544,85.35,71,79,7.52,broken clouds
99,Lujan,AR,-34.5703,-59.105,69.55,78,3,7.9,clear sky
100,Ponta Do Sol,PT,32.6667,-17.1,61.43,78,71,8.88,broken clouds
101,Nakhon Phanom,TH,17.3333,104.4167,80.4,43,85,9.66,overcast clouds
102,North Platte,US,41.1239,-100.7654,33.69,64,1,4.61,clear sky
103,Adrar,MR,20.5022,-10.0711,73.24,27,20,9.69,few clouds
104,Luan,CH,46.3592,6.9759,26.67,85,95,4.25,snow
105,Lagoa,PT,39.05,-27.9833,62.04,62,26,13.44,scattered clouds
106,Port Hardy,CA,50.6996,-127.4199,42.8,93,90,4.61,overcast clouds
107,Norman Wells,CA,65.282,-126.8329,-5.76,77,40,9.22,scattered clouds
108,Birecik,TR,37.0294,37.9903,42.01,83,27,0.49,scattered clouds
109,Victoria,HK,22.2855,114.1577,75.16,46,83,7.38,broken clouds
110,Nome,US,64.5011,-165.4064,-5.73,59,75,12.66,broken clouds
111,Butaritari,KI,3.0707,172.7902,82.47,75,91,17.65,overcast clouds
112,New Norfolk,AU,-42.7826,147.0587,63.9,35,43,4.34,scattered clouds
113,Port Said,EG,31.2565,32.2841,69.4,70,47,12.73,scattered clouds
114,Urengoy,RU,65.9667,78.3667,-13.25,97,19,7.72,few clouds
115,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.08,80,97,11.03,overcast clouds
116,Hamilton,US,39.1834,-84.5333,32.77,67,90,4.61,overcast clouds
117,Port Lincoln,AU,-34.7333,135.8667,64.89,57,49,14.7,scattered clouds
118,Sanary-Sur-Mer,FR,43.1178,5.8001,48.15,82,49,17.25,light rain
119,Celano,IT,42.0855,13.5398,46.24,97,92,5.59,overcast clouds
120,Yellowknife,CA,62.456,-114.3525,7.32,85,90,17.27,light snow
121,Flinders,AU,-34.5833,150.8552,60.08,86,100,18.07,overcast clouds
122,Solnechnyy,RU,50.7214,136.6319,23.16,87,29,3.74,scattered clouds
123,Letlhakane,BW,-21.4167,25.5833,64.18,69,20,18.88,few clouds
124,Waingapu,ID,-9.6567,120.2641,87.28,66,73,7.45,broken clouds
125,Klaksvik,FO,62.2266,-6.589,31.12,63,100,31.83,overcast clouds
126,Ranong,TH,9.9658,98.6348,82.33,68,76,9.89,broken clouds
127,Lorengau,PG,-2.0226,147.2712,85.23,66,57,1.12,broken clouds
128,Esperance,AU,-33.8667,121.9,80.44,53,81,14.2,broken clouds
129,Katsuura,JP,35.1333,140.3,57.31,37,75,13.71,broken clouds
130,Ilulissat,GL,69.2167,-51.1,17.62,79,100,3.44,overcast clouds
131,Cayenne,GF,4.9333,-52.3333,80.64,83,75,1.14,broken clouds
132,Saint-Augustin,CA,51.226,-58.6502,43.25,98,100,15.14,overcast clouds
