City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yellowknife,CA,2021-11-23 18:00:03,62.456,-114.3525,-14.58,95,90,5.01
68,Severo-Kurilsk,RU,2021-11-23 18:04:15,50.6789,156.125,37.44,97,100,28.68
69,Vaini,TO,2021-11-23 18:03:59,-21.2,-175.2,69.96,100,40,0.0
70,Kaeo,NZ,2021-11-23 18:04:15,-35.1,173.7833,61.32,96,97,6.51
71,Upernavik,GL,2021-11-23 18:04:16,72.7868,-56.1549,0.14,69,12,7.25
72,Halifax,CA,2021-11-23 18:01:51,44.6453,-63.5724,39.47,95,100,10.0
73,Hofn,IS,2021-11-23 18:04:16,64.2539,-15.2082,35.4,94,86,7.36
74,Bethel,US,2021-11-23 18:01:26,41.3712,-73.414,42.48,50,7,3.0
75,Kodiak,US,2021-11-23 18:02:24,57.79,-152.4072,15.35,76,99,7.18
76,Ilhabela,BR,2021-11-23 18:04:17,-23.7781,-45.3581,81.14,52,5,2.64
77,Muzhi,RU,2021-11-23 18:04:17,65.3667,64.6667,11.95,76,100,15.66
78,Port Blair,IN,2021-11-23 18:04:18,11.6667,92.75,81.28,83,100,9.42
79,Hasaki,JP,2021-11-23 18:04:18,35.7333,140.8333,39.6,63,9,14.34
80,Bulolo,PG,2021-11-23 18:04:18,-7.2,146.65,68.49,97,87,2.17
81,Yar-Sale,RU,2021-11-23 18:04:19,66.8333,70.8333,11.16,96,100,7.67
82,Teguldet,RU,2021-11-23 18:04:19,57.3064,88.1667,31.68,85,100,13.71
83,Riyadh,SA,2021-11-23 18:04:15,24.6877,46.7219,68.14,51,6,14.45
84,Albany,US,2021-11-23 18:00:14,42.6001,-73.9662,37.45,50,4,1.99
85,Hithadhoo,MV,2021-11-23 18:04:20,-0.6,73.0833,82.27,75,99,18.34
86,Nikolskoye,RU,2021-11-23 18:01:38,59.7035,30.7861,31.87,85,45,5.99
87,Mildura,AU,2021-11-23 18:04:21,-34.2,142.15,66.07,88,84,7.83
88,Mahebourg,MU,2021-11-23 18:04:21,-20.4081,57.7,73.26,74,42,7.25
89,Puerto Ayora,EC,2021-11-23 18:03:59,-0.7393,-90.3518,78.76,72,23,10.54
90,Grand-Santi,GF,2021-11-23 18:04:22,4.25,-54.3833,87.1,57,95,3.87
91,Manzanillo,CU,2021-11-23 18:04:22,20.3433,-77.1167,85.19,52,28,5.99
92,Torbay,CA,2021-11-23 18:00:04,47.6666,-52.7314,41.58,86,100,4.0
93,East London,ZA,2021-11-23 18:05:19,-33.0153,27.9116,63.19,64,8,20.36
94,Lata,PT,2021-11-23 18:05:23,40.1629,-8.3327,52.81,84,94,4.74
95,Kapaa,US,2021-11-23 18:05:23,22.0752,-159.319,77.32,80,20,1.01
96,Coihaique,CL,2021-11-23 18:02:00,-45.5752,-72.0662,64.72,49,80,15.28
97,Micheweni,TZ,2021-11-23 18:05:24,-4.9667,39.8333,81.25,81,88,10.92
98,Bonavista,CA,2021-11-23 18:05:24,48.6499,-53.1147,42.12,81,100,27.13
99,Dalian,CN,2021-11-23 18:05:24,38.9122,121.6022,51.62,60,0,2.24
100,Coventry,GB,2021-11-23 18:05:25,52.4066,-1.5122,47.62,85,75,4.61
101,Kulhudhuffushi,MV,2021-11-23 18:05:25,6.6221,73.07,81.5,74,99,12.93
102,Qaanaaq,GL,2021-11-23 18:05:25,77.484,-69.3632,-6.48,69,96,9.37
103,Dickinson,US,2021-11-23 18:05:26,29.4608,-95.0513,71.13,53,1,1.99
104,Mar Del Plata,AR,2021-11-23 18:05:26,-38.0023,-57.5575,57.87,77,5,18.99
105,Kaitangata,NZ,2021-11-23 18:05:27,-46.2817,169.8464,46.53,92,55,5.95
106,Vung Tau,VN,2021-11-23 18:05:27,10.346,107.0843,79.09,81,100,13.0
107,Changji,CN,2021-11-23 18:05:28,44.0167,87.3167,21.99,86,55,2.24
108,Puerto Carreno,CO,2021-11-23 18:05:28,6.189,-67.4859,93.79,44,91,2.39
109,Kismayo,SO,2021-11-23 18:05:29,-0.3582,42.5454,80.31,80,98,11.05
110,Saldanha,ZA,2021-11-23 18:05:29,-33.0117,17.9442,62.74,76,57,28.92
111,Saint George,US,2021-11-23 18:05:10,37.1041,-113.5841,65.35,36,20,0.0
112,Khatanga,RU,2021-11-23 18:05:29,71.9667,102.5,0.61,79,100,18.45
113,Kinkala,CG,2021-11-23 18:05:30,-4.3614,14.7644,75.22,86,67,0.58
114,Salalah,OM,2021-11-23 18:05:31,17.0151,54.0924,87.89,14,0,11.5
115,Pochutla,MX,2021-11-23 18:05:31,15.7432,-96.4661,89.82,47,0,8.14
116,Dauphin,CA,2021-11-23 18:05:31,51.1494,-100.0502,34.59,80,5,10.74
117,Nur,PL,2021-11-23 18:05:32,52.6683,22.3221,39.78,95,87,8.25
118,Vao,NC,2021-11-23 18:03:16,-22.6667,167.4833,74.12,75,100,8.99
